"","avg_price_all","s_p_close","usd_fx_index","dow_dji_close","emerging_market_etf"
"0%",-3.96214286,-113.19,-2.36999999999999,-1175.21,-1.75
"5%",-1.30150000600001,-31.26,-0.597999999999996,-260.071999999999,-0.638
"10%",-1.028071428,-19.382,-0.460000000000008,-175.974,-0.44
"15%",-0.808499999999999,-13.2460000000001,-0.359999999999999,-117.122000000002,-0.359999999999999
"20%",-0.631000002000003,-8.2079999999999,-0.27000000000001,-83.35,-0.289999999999999
"25%",-0.453571420000003,-6.13000000000011,-0.22999999999999,-56.2099999999991,-0.229999999999997
"30%",-0.313499996,-3.88000000000002,-0.159999999999997,-39.7239999999998,-0.16
"35%",-0.198928572,-2.61800000000003,-0.109999999999999,-26.2619999999988,-0.119999999999997
"40%",-0.126499991999997,-1.61400000000012,-0.0600000000000023,-12.9260000000002,-0.0599999999999987
"45%",-0.0335000040000025,-0.304000000000178,-0.0300000000000011,-1.07600000000092,-0.0100000000000051
"50%",0.0328571400000044,1.01999999999998,0.0100000000000051,13.9699999999993,0.0400000000000063
"55%",0.110428570000002,2.6460000000001,0.05,26.8919999999991,0.0800000000000026
"60%",0.208357143999999,4.08000000000011,0.0900000000000034,41.2619999999988,0.13
"65%",0.315785717999999,5.54400000000024,0.129999999999995,59.5379999999997,0.17
"70%",0.426857146000002,7.89000000000025,0.165000000000006,74.4539999999986,0.219999999999999
"75%",0.541785710000006,10.0700000000002,0.219999999999999,97.5799999999981,0.260000000000005
"80%",0.660642856000003,13.2439999999999,0.272000000000009,118.202000000001,0.32
"85%",0.801142853999999,17.4900000000003,0.352000000000007,157.737999999999,0.374000000000002
"90%",1.078642862,22.818,0.450000000000003,200.231999999999,0.459999999999999
"95%",1.408785714,30.5680000000001,0.590000000000003,272.832000000002,0.617999999999999
"100%",4.26821428,84.0500000000002,1.92,746.939999999999,1.26
