"","season250","season20","season62","season5","V5","V6","V7","V8","V9","V10"
"m_number_dated_brent",2.34018531618091,2.32677374136987,2.5384430470315,2.82846355760495,NA,NA,NA,NA,NA,NA
"forties",2.2873843778808,2.26854497456095,2.44919379991417,2.74074908707325,NA,NA,NA,NA,NA,NA
"oseberg",2.60358455408215,2.56750922095873,2.74429058255992,3.03371274504952,NA,NA,NA,NA,NA,NA
"ekofisk",2.56622854826412,2.5478054861221,2.72466894573574,3.02276056158578,NA,NA,NA,NA,NA,NA
"troll",2.83242413949063,2.85133890153011,3.03474647705653,3.29590718092347,NA,NA,NA,NA,NA,NA
"north_sea_basket",2.48818941466576,2.46691266822523,2.64717245853281,2.94259799578872,NA,NA,NA,NA,NA,NA
"statfjord",3.14171640620372,3.22827022127296,3.36548892034513,3.66130162804173,NA,NA,NA,NA,NA,NA
"flotta_gold",3.52834301567073,3.53377145307233,3.67057609075493,3.98173942342254,NA,NA,NA,NA,NA,NA
"duc_dansk",3.22959714696052,3.24982765961812,3.46110766984273,3.70948281511261,NA,NA,NA,NA,NA,NA
"grane",2.95183241262908,3.73928726418957,3.49295493798729,3.96697355474078,NA,NA,NA,NA,NA,NA
"gulfaks",2.95743045839925,3.02119307457796,3.15951890868046,3.45848489975361,NA,NA,NA,NA,NA,NA
"alvhiem",3.98083513506318,3.53862271895359,3.18078669900292,3.60498517827769,NA,NA,NA,NA,NA,NA
"asgard",3.9636374910345,3.53419156214726,3.16996048221209,3.59941867582102,NA,NA,NA,NA,NA,NA
"wti_midlands",3.69340594150102,3.4640914321388,3.1110404193519,3.53673111322597,NA,NA,NA,NA,NA,NA
"eagleford_45",3.65279725625558,3.41737679805653,3.06178618407416,3.48280454072096,NA,NA,NA,NA,NA,NA
